,id_cmpny,name,address,ticker,sector
0,1,3M Company,"St. Paul, Minnesota",MMM,Industrials
1,2,Abbott Laboratories,"North Chicago, Illinois",ABT,Health Care
2,3,AbbVie Inc.,"North Chicago, Illinois",ABBV,Health Care
3,4,Accenture plc,"Dublin, Ireland",ACN,Information Technology
4,5,Activision Blizzard,"Santa Monica, California",ATVI,Information Technology
5,6,Acuity Brands Inc,"Atlanta, Georgia",AYI,Industrials
6,7,Adobe Systems Inc,"San Jose, California",ADBE,Information Technology
7,8,Advanced Micro Devices Inc,"Sunnyvale, California",AMD,Information Technology
8,9,Advance Auto Parts,"Roanoke, Virginia",AAP,Consumer Discretionary
9,10,AES Corp,"Arlington, Virginia",AES,Utilities
10,11,Aetna Inc,"Hartford, Connecticut",AET,Health Care
11,12,Affiliated Managers Group Inc,"Beverly, Massachusetts",AMG,Financials
12,13,AFLAC Inc,"Columbus, Georgia",AFL,Financials
13,14,Agilent Technologies Inc,"Santa Clara, California",A,Health Care
14,15,Air Products & Chemicals Inc,"Allentown, Pennsylvania",APD,Materials
15,16,Akamai Technologies Inc,"Cambridge, Massachusetts",AKAM,Information Technology
16,17,Alaska Air Group Inc,"Seattle, Washington",ALK,Industrials
17,18,Albemarle Corp,"Baton Rouge, Louisiana",ALB,Materials
18,19,Alexandria Real Estate Equities Inc,"Pasadena, California",ARE,Real Estate
19,20,Alexion Pharmaceuticals,"Cheshire, Connecticut",ALXN,Health Care
20,21,Align Technology,"San Jose, California",ALGN,Health Care
21,22,Allegion,"Dublin, Ireland",ALLE,Industrials
22,23,"Allergan, Plc","Dublin, Ireland",AGN,Health Care
23,24,Alliance Data Systems,"Plano, Texas",ADS,Information Technology
24,25,Alliant Energy Corp,"Madison, Wisconsin",LNT,Utilities
25,26,Allstate Corp,"Northfield Township, Illinois",ALL,Financials
26,27,Alphabet Inc Class A,"Mountain View, California",GOOGL,Information Technology
27,28,Alphabet Inc Class C,"Mountain View, California",GOOG,Information Technology
28,29,Altria Group Inc,"Richmond, Virginia",MO,Consumer Staples
29,30,Amazon.com Inc.,"Seattle, Washington",AMZN,Consumer Discretionary
30,31,Ameren Corp,"St. Louis, Missouri",AEE,Utilities
31,32,American Airlines Group,"Fort Worth, Texas",AAL,Industrials
32,33,American Electric Power,"Columbus, Ohio",AEP,Utilities
33,34,American Express Co,"New York, New York",AXP,Financials
34,35,"American International Group, Inc.","New York, New York",AIG,Financials
35,36,American Tower Corp A,"Boston, Massachusetts",AMT,Real Estate
36,37,American Water Works Company Inc,"Voorhees, New Jersey",AWK,Utilities
37,38,Ameriprise Financial,"Minneapolis, Minnesota",AMP,Financials
38,39,AmerisourceBergen Corp,"Chesterbrook, Pennsylvania",ABC,Health Care
39,40,AMETEK Inc.,"Berwyn, Pennsylvania",AME,Industrials
40,41,Amgen Inc.,"Thousand Oaks, California",AMGN,Health Care
41,42,Amphenol Corp,"Wallingford, Connecticut",APH,Information Technology
42,43,Anadarko Petroleum Corp,"The Woodlands, Texas",APC,Energy
43,44,"Analog Devices, Inc.","Norwood, Massachusetts",ADI,Information Technology
44,45,Andeavor,"San Antonio, Texas",ANDV,Energy
45,46,ANSYS,"Canonsburg, Pennsylvania",ANSS,Information Technology
46,47,Anthem Inc.,"Indianapolis, Indiana",ANTM,Health Care
47,48,Aon plc,"London, United Kingdom",AON,Financials
48,49,A.O. Smith Corp,"Milwaukee, Wisconsin",AOS,Industrials
49,50,Apache Corporation,"Houston, Texas",APA,Energy
50,51,Apartment Investment & Management,"Denver, Colorado",AIV,Real Estate
51,52,Apple Inc.,"Cupertino, California",AAPL,Information Technology
52,53,Applied Materials Inc.,"Santa Clara, California",AMAT,Information Technology
53,54,Aptiv Plc,"Gillingham, Kent, United Kingdom",APTV,Consumer Discretionary
54,55,Archer-Daniels-Midland Co,"Decatur, Illinois",ADM,Consumer Staples
55,56,Arconic Inc.,"New York, New York",ARNC,Industrials
56,57,Arthur J. Gallagher & Co.,"Itasca, Illinois",AJG,Financials
57,58,Assurant Inc.,"New York, New York",AIZ,Financials
58,59,AT&T Inc.,"Dallas, Texas",T,Telecommunication Services
59,60,Autodesk Inc.,"San Rafael, California",ADSK,Information Technology
60,61,Automatic Data Processing,"Roseland, New Jersey",ADP,Information Technology
61,62,AutoZone Inc,"Memphis, Tennessee",AZO,Consumer Discretionary
62,63,"AvalonBay Communities, Inc.","Arlington, Virginia[3]",AVB,Real Estate
63,64,Avery Dennison Corp,"Glendale, California",AVY,Materials
64,65,"Baker Hughes, a GE Company","Houston, Texas",BHGE,Energy
65,66,Ball Corp,"Broomfield, Colorado",BLL,Materials
66,67,Bank of America Corp,"Charlotte, North Carolina",BAC,Financials
67,68,The Bank of New York Mellon Corp.,"New York, New York",BK,Financials
68,69,Baxter International Inc.,"Deerfield, Illinois",BAX,Health Care
69,70,BB&T Corporation,"Winston-Salem, North Carolina",BBT,Financials
70,71,Becton Dickinson,"Franklin Lakes, New Jersey",BDX,Health Care
71,72,Berkshire Hathaway,"Omaha, Nebraska",BRK.B,Financials
72,73,Best Buy Co. Inc.,"Richfield, Minnesota",BBY,Consumer Discretionary
73,74,Biogen Inc.,"Weston, Massachusetts",BIIB,Health Care
74,75,BlackRock,"New York, New York",BLK,Financials
75,76,Block H&R,"Kansas City, Missouri",HRB,Financials
76,77,Boeing Company,"Chicago, Illinois",BA,Industrials
